TimeStamp (UTC)," ""Latitude"""," ""Longitude"""," ""Altitude (Meter AGL)"""," ""Drone Yaw""",CO2 (ppm),Wind Direction,,Wind Speed
UTC 221212 123359 5 9 ,53.32834244,5.931040764,28.96,256.22,423,182°,,  3.90 m/s
UTC 221212 123405 5 9 ,53.32847977,5.930886269,28.69,19.81,444,185°,,  4.07 m/s
UTC 221212 123420 5 9 ,53.32864761,5.93194437,29.1,77.21,444,174°,,  4.45 m/s
UTC 221212 123425 5 9 ,53.3286972,5.932311058,29.29,77.28,448,175°,,  4.29 m/s
UTC 221212 123430 5 9 ,53.32874298,5.932677746,29.4,77.25,452,175°,,  4.14 m/s
UTC 221212 123435 5 9 ,53.32879257,5.93304491,29.55,77.17,452,176°,,  3.58 m/s
UTC 221212 123440 5 9 ,53.32884216,5.93340826,29.73,77.19,452,173°,,  3.74 m/s
UTC 221212 123444 5 9 ,53.32888031,5.933701992,29.88,77.3,452,176°,,  3.96 m/s
UTC 221212 123450 5 9 ,53.32894135,5.934144497,30.04,77.2,452,174°,,  4.30 m/s
UTC 221212 123455 5 9 ,53.32899094,5.934512615,30.17,77.26,452,172°,,  4.31 m/s
UTC 221212 123500 5 9 ,53.32903671,5.934880734,30.4,77.66,448,175°,,  4.12 m/s
UTC 221212 123505 5 9 ,53.3290863,5.935233116,30.48,69.59,447,183°,,  4.10 m/s
UTC 221212 123510 5 9 ,53.32925797,5.935202122,29.96,293.91,447,186°,,  2.95 m/s
UTC 221212 123525 5 9 ,53.32912064,5.934119701,29.57,256.62,400,189°,,  3.80 m/s
